Time,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE,time_num,Temp,Rel_Hum,Weather,Hour,Month
2012-04-02 00:00:00,1197,475,0,722,0,7,0,0,42,103,36,18,9,0,8,0,0,0,127,5,0,297,70,1204020000,7.2,74.0,10.0,00,04
2012-04-02 01:00:00,968,361,0,607,0,7,0,0,31,103,1,63,9,0,8,0,0,0,0,5,0,48,332,1204020100,7.1,74.0,10.0,01,04
2012-04-02 02:00:00,6416,354,0,6062,0,331,0,6,40,104,35,174,9,0,60,4616,0,0,132,5,0,38,512,1204020200,7.3,75.0,10.0,02,04
2012-04-02 03:00:00,2709,390,2,2317,21,7,0,740,40,104,35,185,9,0,7,0,0,0,0,6,0,37,1126,1204020300,7.4,74.0,10.0,03,04
2012-04-02 04:00:00,1640,315,2,1323,20,436,0,2,40,103,36,14,9,0,57,0,21,0,134,46,0,37,368,1204020400,7.5,72.0,10.0,04,04
2012-04-02 05:00:00,1252,354,2,896,0,336,0,0,40,104,1,15,9,0,8,0,11,0,0,4,0,236,132,1204020500,7.4,72.0,10.0,05,04
2012-04-02 06:00:00,1115,194,0,921,0,337,0,0,40,104,37,15,9,0,8,0,0,0,0,5,0,231,135,1204020600,7.7,68.0,10.0,06,04
2012-04-02 07:00:00,662,175,2,485,0,26,0,0,43,105,37,15,9,0,7,0,5,0,150,5,0,38,45,1204020700,7.3,69.0,10.0,07,04
2012-04-02 08:00:00,479,173,2,304,0,7,0,0,40,104,37,19,9,0,7,0,1,0,1,5,0,39,35,1204020800,8.3,64.0,10.0,08,04
2012-04-02 09:00:00,443,173,2,268,0,7,0,0,40,104,1,15,9,0,8,0,0,0,0,5,0,38,41,1204020900,8.9,60.0,10.0,09,04
2012-04-02 10:00:00,488,178,2,308,0,7,0,0,40,105,37,19,8,0,8,0,0,0,7,5,0,38,34,1204021000,9.4,59.0,10.0,10,04
2012-04-02 11:00:00,589,196,2,391,0,7,0,0,40,104,1,18,9,0,8,0,0,0,133,5,0,38,28,1204021100,9.8,61.0,10.0,11,04
2012-04-02 12:00:00,2143,43,0,2100,0,7,0,0,40,111,1813,19,9,0,7,0,0,0,0,5,0,37,52,1204021200,11.3,56.0,11.0,12,04
2012-04-02 13:00:00,2545,454,2,2089,0,6,0,0,41,111,1794,16,9,0,8,0,0,0,7,5,0,38,54,1204021300,12.9,51.0,11.0,13,04
2012-04-02 14:00:00,2367,41,0,2326,0,6,0,0,30,109,1779,15,9,0,8,0,0,0,0,5,0,37,328,1204021400,12.4,51.0,10.0,14,04
2012-04-02 15:00:00,2673,43,0,2630,0,434,0,0,40,111,1808,15,8,0,12,0,0,0,0,4,0,37,161,1204021500,13.3,50.0,10.0,15,04
2012-04-02 16:00:00,2787,41,2,2744,0,331,0,0,40,111,1824,19,9,0,8,0,0,0,0,21,0,38,343,1204021600,12.3,50.0,10.0,16,04
2012-04-02 17:00:00,365,43,2,320,0,7,0,0,40,104,37,19,9,0,7,0,0,0,0,21,0,37,39,1204021700,12.2,49.0,10.0,17,04
2012-04-02 18:00:00,456,43,0,413,0,7,0,0,40,104,37,15,9,0,8,0,0,0,0,5,0,37,151,1204021800,11.3,55.0,10.0,18,04
2012-04-02 19:00:00,2312,41,0,2271,0,7,190,0,40,111,1585,15,9,0,7,0,0,0,123,4,0,37,143,1204021900,11.0,57.0,10.0,19,04
2012-04-02 20:00:00,580,171,2,407,0,7,0,0,43,103,36,15,8,0,7,0,0,0,0,5,0,38,145,1204022000,11.3,56.0,10.0,20,04
2012-04-02 21:00:00,772,466,0,306,0,7,0,0,39,104,36,15,9,0,7,0,0,0,7,5,0,38,39,1204022100,10.3,66.0,6.0,21,04
2012-04-02 22:00:00,2358,45,0,2313,0,7,0,0,40,111,1799,19,9,0,7,0,0,0,122,5,0,38,156,1204022200,9.8,71.0,6.0,22,04
2012-04-02 23:00:00,365,59,2,304,0,7,0,0,40,103,37,15,9,0,7,0,0,0,0,5,0,37,44,1204022300,9.6,71.0,6.0,23,04
2012-04-03 00:00:00,685,390,2,293,0,7,0,0,39,103,1,18,9,0,6,0,0,0,7,21,0,48,34,1204030000,10.0,67.0,3.0,00,04
2012-04-03 01:00:00,717,420,2,295,0,6,0,0,39,104,36,19,9,0,7,0,0,0,0,5,0,39,31,1204030100,9.5,72.0,10.0,01,04
2012-04-03 02:00:00,1690,475,2,1213,0,7,0,0,42,104,36,20,9,0,55,11,0,0,0,5,0,38,886,1204030200,8.8,75.0,10.0,02,04
2012-04-03 03:00:00,722,61,2,659,20,7,0,0,30,103,35,19,9,0,56,0,0,0,7,5,0,38,330,1204030300,9.4,67.0,10.0,03,04
2012-04-03 04:00:00,498,59,2,437,0,7,0,0,39,103,36,19,9,0,62,0,0,0,1,5,0,38,118,1204030400,9.3,67.0,10.0,04,04
2012-04-03 05:00:00,1224,61,2,1161,0,331,0,0,40,105,36,15,9,0,60,0,0,0,0,4,0,308,253,1204030500,8.9,69.0,3.0,05,04
2012-04-03 06:00:00,2792,61,0,2731,0,7,0,0,41,115,1815,178,9,0,56,0,0,0,7,5,0,38,460,1204030600,10.0,61.0,3.0,06,04
2012-04-03 07:00:00,2289,43,0,2246,0,7,0,0,40,114,1793,15,9,0,58,0,0,0,0,5,0,37,168,1204030700,8.7,72.0,6.0,07,04
2012-04-03 08:00:00,2147,43,0,2104,0,7,0,0,40,114,1816,15,9,0,7,0,0,0,0,5,0,39,52,1204030800,6.3,85.0,6.0,08,04
2012-04-03 09:00:00,2280,171,2,2107,0,7,0,0,42,115,1811,15,9,0,7,0,0,0,7,5,0,39,50,1204030900,5.6,83.0,6.0,09,04
2012-04-03 10:00:00,475,171,2,302,0,7,0,0,40,106,36,19,9,0,7,0,0,0,0,5,0,39,34,1204031000,6.0,85.0,6.0,10,04
2012-04-03 11:00:00,484,175,2,307,0,7,0,0,40,106,38,15,9,0,7,0,0,0,0,5,0,39,41,1204031100,5.8,85.0,6.0,11,04
2012-04-03 12:00:00,2294,43,2,2249,0,7,0,0,40,115,1818,15,9,0,7,0,0,0,146,5,0,39,48,1204031200,5.9,80.0,6.0,12,04
2012-04-03 13:00:00,2115,43,0,2072,0,7,0,0,40,114,1779,15,9,0,7,0,0,0,0,5,0,39,57,1204031300,6.6,76.0,6.0,13,04
2012-04-03 14:00:00,598,173,0,425,0,7,0,0,40,106,36,15,9,0,7,0,0,0,128,5,0,38,34,1204031400,7.1,77.0,10.0,14,04
2012-04-03 15:00:00,434,43,0,391,0,7,0,0,41,108,1,19,9,0,7,0,0,0,125,5,0,38,31,1204031500,9.0,72.0,11.0,15,04
2012-04-03 16:00:00,612,43,0,569,0,7,0,0,38,106,39,15,9,0,7,0,0,0,0,5,0,38,305,1204031600,7.8,73.0,11.0,16,04
2012-04-03 17:00:00,589,43,0,546,0,7,0,0,40,107,1,15,9,0,7,0,0,0,0,5,0,38,317,1204031700,7.1,78.0,6.0,17,04
2012-04-03 18:00:00,2088,43,2,2043,0,7,0,0,39,113,1614,15,9,0,6,0,0,0,123,5,0,38,74,1204031800,6.7,83.0,11.0,18,04
2012-04-03 19:00:00,511,45,2,464,0,7,0,0,39,106,36,15,9,0,6,0,0,0,133,5,0,39,69,1204031900,6.6,75.0,11.0,19,04
2012-04-03 20:00:00,470,171,0,299,0,7,0,0,40,104,35,18,9,0,6,0,0,0,0,5,0,39,36,1204032000,5.9,77.0,12.0,20,04
2012-04-03 21:00:00,804,173,2,629,0,7,0,0,40,104,36,183,9,0,6,0,0,0,0,5,0,39,200,1204032100,3.8,81.0,12.0,21,04
2012-04-03 22:00:00,626,194,2,430,0,7,0,0,42,104,38,15,9,0,6,0,0,0,130,5,0,38,36,1204032200,3.0,83.0,12.0,22,04
2012-04-03 23:00:00,1489,429,4,1056,0,329,0,0,40,104,37,83,9,0,8,0,0,0,126,5,0,289,26,1204032300,4.4,84.0,10.0,23,04
2012-04-04 00:00:00,2824,1855,0,969,0,397,0,0,40,104,37,15,9,43,8,0,0,0,0,4,0,49,263,1204040000,3.9,85.0,11.0,00,04
2012-04-04 01:00:00,3116,2300,0,816,0,367,0,0,39,105,36,18,9,0,8,0,0,0,0,4,0,39,191,1204040100,3.7,84.0,12.0,01,04
2012-04-04 02:00:00,1805,472,0,1333,20,368,0,0,39,105,35,15,9,0,8,0,0,0,126,46,0,38,524,1204040200,1.8,85.0,12.0,02,04
2012-04-04 03:00:00,2984,475,2,2507,20,26,0,0,39,113,1747,15,9,0,56,0,31,0,0,5,0,38,408,1204040300,2.1,85.0,11.0,03,04
2012-04-04 04:00:00,1160,185,0,975,0,371,0,0,40,105,36,16,8,0,61,0,17,0,0,4,0,38,279,1204040400,2.1,85.0,11.0,04,04
2012-04-04 05:00:00,1375,185,4,1186,0,331,0,0,44,104,36,15,9,0,8,0,4,0,128,4,0,262,241,1204040500,2.1,88.0,11.0,05,04
2012-04-04 06:00:00,964,66,2,896,0,335,0,0,40,104,37,15,9,0,8,0,0,0,7,4,0,218,119,1204040600,3.3,89.0,11.0,06,04
2012-04-04 07:00:00,644,217,0,427,0,7,0,0,40,103,37,16,9,0,8,0,6,0,121,5,0,38,37,1204040700,4.3,86.0,12.0,07,04
2012-04-04 08:00:00,361,45,2,314,0,7,0,0,40,104,38,19,9,0,7,0,6,0,0,5,0,38,41,1204040800,5.9,77.0,11.0,08,04
2012-04-04 09:00:00,365,43,2,320,0,7,0,0,40,105,37,16,9,0,8,0,6,0,0,5,0,38,49,1204040900,6.2,77.0,12.0,09,04
2012-04-04 10:00:00,594,43,2,549,0,7,0,0,40,105,41,20,9,0,7,0,6,0,125,5,0,38,146,1204041000,7.4,72.0,12.0,10,04
2012-04-04 11:00:00,438,166,2,270,0,7,0,0,41,105,0,20,9,0,8,0,6,0,0,5,0,39,30,1204041100,7.3,74.0,12.0,11,04
2012-04-04 12:00:00,479,173,2,304,0,7,0,0,30,106,37,20,9,0,7,0,2,0,0,5,0,38,43,1204041200,7.9,74.0,12.0,12,04
2012-04-04 13:00:00,493,189,2,302,0,7,0,0,40,105,37,16,9,0,7,0,0,0,0,5,0,38,38,1204041300,7.8,75.0,12.0,13,04
2012-04-04 14:00:00,319,43,4,272,0,7,0,0,40,106,1,20,9,0,8,0,0,0,7,5,0,38,31,1204041400,8.4,67.0,12.0,14,04
2012-04-04 15:00:00,2266,41,0,2225,0,7,0,0,40,114,1807,15,9,0,7,0,1,0,126,5,0,38,56,1204041500,7.8,71.0,11.0,15,04
2012-04-04 16:00:00,438,171,0,267,0,7,0,0,40,106,1,15,9,0,8,0,0,0,0,5,0,38,38,1204041600,7.9,65.0,11.0,16,04
2012-04-04 17:00:00,2444,171,2,2271,0,7,0,0,40,114,1749,16,9,0,8,0,0,0,132,5,0,39,152,1204041700,7.6,65.0,11.0,17,04
2012-04-04 18:00:00,470,43,0,427,0,7,0,0,42,105,37,16,9,0,8,0,0,0,0,21,0,39,143,1204041800,7.4,68.0,11.0,18,04
2012-04-04 19:00:00,1361,45,2,1314,0,8,8,0,40,104,36,16,9,0,7,0,0,0,1,5,2,38,1040,1204041900,6.3,77.0,11.0,19,04
2012-04-04 20:00:00,2490,45,4,2441,0,7,0,0,40,113,1814,173,9,0,8,0,0,0,1,5,0,39,232,1204042000,6.8,74.0,11.0,20,04
2012-04-04 21:00:00,525,45,0,480,0,7,0,0,40,103,37,15,9,0,7,0,0,0,132,5,0,39,86,1204042100,5.6,78.0,11.0,21,04
2012-04-04 22:00:00,776,472,2,302,0,7,0,0,40,104,36,16,9,0,7,0,0,0,0,5,0,39,39,1204042200,5.6,80.0,12.0,22,04
2012-04-04 23:00:00,2376,326,2,2048,0,7,0,0,40,115,1763,20,9,0,7,0,0,0,0,5,0,39,43,1204042300,3.9,77.0,12.0,23,04
2012-04-05 00:00:00,5488,285,0,5203,0,7,118,0,40,104,37,22,9,0,23,4612,0,0,134,5,0,38,54,1204050000,3.9,80.0,12.0,00,04
2012-04-05 01:00:00,1032,623,0,409,0,7,81,0,30,104,37,15,9,0,7,0,0,0,0,5,0,38,76,1204050100,3.0,80.0,12.0,01,04
2012-04-05 02:00:00,626,182,0,444,0,7,0,0,40,104,37,18,9,0,7,0,0,0,132,5,0,38,47,1204050200,3.9,81.0,11.0,02,04
2012-04-05 03:00:00,1055,182,2,871,20,7,0,0,39,103,36,15,9,0,66,0,0,0,0,5,0,39,532,1204050300,3.1,81.0,11.0,03,04
2012-04-05 04:00:00,575,189,0,386,0,7,0,0,40,106,37,15,9,0,57,0,0,0,0,5,0,38,72,1204050400,4.1,78.0,11.0,04,04
2012-04-05 05:00:00,5810,313,2,5495,0,327,0,0,40,106,36,15,9,0,7,4580,0,0,0,4,0,371,0,1204050500,4.2,81.0,11.0,05,04
2012-04-05 06:00:00,1343,422,2,919,0,331,0,0,40,106,36,15,9,0,8,0,0,0,0,4,0,253,117,1204050600,4.7,79.0,11.0,06,04
2012-04-05 07:00:00,484,45,0,439,0,7,0,0,42,106,36,15,9,0,8,0,0,0,129,5,0,38,44,1204050700,5.7,75.0,11.0,07,04
2012-04-05 08:00:00,2124,45,0,2079,0,7,0,0,40,114,1787,15,9,0,8,0,0,0,1,5,0,39,54,1204050800,6.3,78.0,10.0,08,04
2012-04-05 09:00:00,2051,43,2,2006,0,7,0,0,40,115,1721,15,9,0,8,0,0,0,1,5,0,39,46,1204050900,6.5,76.0,10.0,09,04
2012-04-05 10:00:00,484,45,2,437,0,7,0,0,40,104,37,15,9,0,8,0,0,0,0,5,0,38,174,1204051000,6.6,74.0,11.0,10,04
2012-04-05 11:00:00,2143,43,2,2098,0,7,0,0,40,114,1805,19,9,0,7,0,0,0,0,5,0,38,54,1204051100,7.9,73.0,11.0,11,04
2012-04-05 12:00:00,2467,171,2,2294,0,7,0,0,40,114,1778,15,9,0,7,0,0,0,121,5,0,39,159,1204051200,8.9,74.0,11.0,12,04
2012-04-05 13:00:00,594,171,2,421,0,7,0,0,40,104,37,15,9,0,7,0,0,0,122,5,0,39,36,1204051300,8.8,71.0,11.0,13,04
2012-04-05 14:00:00,584,169,2,413,0,7,0,0,44,105,37,19,9,0,7,0,0,0,1,5,0,38,141,1204051400,8.6,67.0,11.0,14,04
2012-04-05 15:00:00,767,171,0,596,0,7,0,0,40,106,36,15,9,0,7,0,16,0,7,5,0,39,309,1204051500,8.9,65.0,12.0,15,04
2012-04-05 16:00:00,1073,185,4,884,0,7,0,0,40,106,1,24,9,0,8,0,30,0,124,5,0,38,492,1204051600,8.7,65.0,12.0,16,04
2012-04-05 17:00:00,2106,43,0,2063,0,7,0,0,40,115,1742,23,9,0,8,0,19,0,7,5,0,38,50,1204051700,8.8,61.0,12.0,17,04
2012-04-05 18:00:00,2289,43,2,2244,0,330,0,0,40,114,1385,20,9,0,8,0,8,0,0,4,0,236,90,1204051800,8.2,63.0,12.0,18,04
2012-04-05 19:00:00,941,43,2,896,0,334,0,0,40,107,37,20,9,0,8,0,9,0,0,4,0,270,58,1204051900,7.3,64.0,12.0,19,04
2012-04-05 20:00:00,598,43,2,553,0,7,0,0,42,106,36,72,9,0,63,0,8,0,127,5,0,39,39,1204052000,7.2,65.0,12.0,20,04
2012-04-05 21:00:00,804,171,2,631,0,7,0,0,30,105,37,24,9,0,59,0,11,0,146,5,0,39,159,1204052100,6.2,67.0,12.0,21,04
2012-04-05 22:00:00,520,189,2,329,0,7,0,0,40,106,38,24,9,0,8,0,15,0,0,5,0,39,38,1204052200,5.5,69.0,12.0,22,04
2012-04-05 23:00:00,488,38,0,450,0,7,0,0,40,106,36,20,9,0,7,0,15,0,123,5,0,39,43,1204052300,4.2,77.0,12.0,23,04
2012-04-06 00:00:00,484,41,2,441,0,7,0,0,40,106,1,15,9,0,8,0,0,0,7,5,0,38,205,1204060000,3.6,79.0,12.0,00,04
2012-04-06 01:00:00,365,43,0,322,0,7,0,0,40,107,37,15,9,0,8,0,0,0,0,5,0,39,55,1204060100,3.3,80.0,12.0,01,04
2012-04-06 02:00:00,977,43,2,932,0,7,0,142,41,108,37,170,9,0,8,0,0,0,136,5,0,38,231,1204060200,3.5,78.0,12.0,02,04
2012-04-06 03:00:00,1412,169,0,1243,0,7,158,762,43,106,36,15,9,0,7,0,0,0,0,5,0,39,56,1204060300,2.4,78.0,12.0,03,04
2012-04-06 04:00:00,1380,171,2,1207,0,329,0,0,39,105,36,19,9,0,56,0,0,0,125,4,0,240,245,1204060400,3.6,78.0,11.0,04,04
2012-04-06 05:00:00,1270,43,0,1227,0,330,0,0,40,106,37,15,9,0,8,242,0,0,7,4,0,339,90,1204060500,3.9,78.0,11.0,05,04
2012-04-06 06:00:00,5031,43,2,4986,0,7,0,0,40,106,1,63,9,0,7,4658,0,0,1,5,0,38,51,1204060600,4.6,78.0,11.0,06,04
2012-04-06 07:00:00,2326,45,0,2281,0,7,0,0,41,115,1795,63,9,0,7,0,0,0,0,5,0,40,199,1204060700,5.3,78.0,10.0,07,04
2012-04-06 08:00:00,2303,43,2,2258,0,7,0,0,41,114,1799,58,9,0,8,0,0,0,131,5,0,39,47,1204060800,5.8,74.0,10.0,08,04
2012-04-06 09:00:00,2294,171,0,2123,0,7,0,0,41,114,1795,58,9,0,7,0,0,0,0,5,0,38,49,1204060900,6.6,75.0,3.0,09,04
2012-04-06 10:00:00,2275,173,2,2100,0,7,0,0,31,114,1779,58,9,0,8,0,0,0,0,5,0,39,50,1204061000,7.0,74.0,11.0,10,04
2012-04-06 11:00:00,479,43,2,434,0,7,0,0,40,107,38,15,9,0,7,0,0,0,132,5,0,38,36,1204061100,8.8,72.0,11.0,11,04
2012-04-06 12:00:00,461,41,2,418,0,7,0,0,40,107,37,15,9,0,8,0,0,0,1,5,0,39,150,1204061200,7.9,70.0,3.0,12,04
2012-04-06 13:00:00,443,43,0,400,0,7,0,0,40,106,0,15,9,0,7,0,0,0,128,5,0,39,44,1204061300,9.3,71.0,12.0,13,04
2012-04-06 14:00:00,2257,169,2,2086,0,7,0,0,40,115,1791,15,9,0,8,0,0,0,7,5,0,38,51,1204061400,10.4,66.0,12.0,14,04
2012-04-06 15:00:00,2216,173,2,2041,0,7,0,0,40,113,1754,15,9,0,8,0,0,0,0,5,0,39,51,1204061500,9.5,68.0,12.0,15,04
2012-04-06 16:00:00,2106,41,2,2063,0,7,0,0,42,106,37,18,9,0,7,0,0,0,139,5,0,38,1655,1204061600,10.4,57.0,11.0,16,04
2012-04-06 17:00:00,456,45,0,411,0,7,0,0,40,106,1,18,9,0,7,0,0,0,0,5,0,38,180,1204061700,9.7,59.0,12.0,17,04
2012-04-06 18:00:00,525,43,0,482,0,7,0,0,40,106,36,15,9,0,57,0,0,0,129,5,0,39,39,1204061800,8.8,63.0,12.0,18,04
2012-04-06 19:00:00,630,171,2,457,0,7,0,0,40,106,37,15,9,0,63,0,0,0,7,5,0,39,129,1204061900,7.7,68.0,12.0,19,04
2012-04-06 20:00:00,479,173,4,302,0,7,0,0,40,106,36,19,9,0,8,0,0,0,0,5,0,39,33,1204062000,7.7,69.0,12.0,20,04
2012-04-06 21:00:00,1037,43,2,992,0,334,0,0,40,107,37,15,9,0,8,0,0,0,0,4,0,182,256,1204062100,6.2,71.0,12.0,21,04
2012-04-06 22:00:00,1032,43,0,989,0,337,0,0,41,106,37,15,9,0,8,0,0,0,133,4,0,239,60,1204062200,4.2,75.0,12.0,22,04
2012-04-06 23:00:00,361,43,2,316,0,7,0,0,45,106,37,15,9,1,8,0,0,0,0,5,0,39,44,1204062300,4.8,75.0,12.0,23,04
2012-04-07 00:00:00,612,173,0,439,0,7,0,0,40,104,36,15,9,0,8,0,0,0,124,21,0,38,37,1204070000,3.6,76.0,12.0,00,04
2012-04-07 01:00:00,484,43,2,439,0,7,0,0,39,106,37,15,9,0,8,0,0,0,127,5,0,39,47,1204070100,4.1,75.0,12.0,01,04
2012-04-07 02:00:00,516,43,4,469,21,7,109,0,40,104,37,19,9,0,8,0,5,0,0,5,0,39,66,1204070200,3.2,76.0,13.0,02,04
2012-04-07 03:00:00,813,43,2,768,0,7,0,0,39,106,37,19,9,0,58,0,1,0,123,22,0,39,308,1204070300,2.5,78.0,13.0,03,04
2012-04-07 04:00:00,1261,43,0,1218,0,332,0,0,40,107,38,15,9,0,57,0,0,0,0,4,0,301,315,1204070400,3.2,76.0,12.0,04,04
2012-04-07 05:00:00,1128,43,2,1083,0,334,0,0,42,106,37,15,9,0,8,0,0,0,137,4,0,258,133,1204070500,1.7,80.0,12.0,05,04
2012-04-07 06:00:00,955,41,2,912,0,335,0,0,40,106,37,17,9,0,8,0,0,0,0,4,0,266,90,1204070600,2.8,77.0,12.0,06,04
2012-04-07 07:00:00,566,171,2,393,0,7,0,0,40,106,1,15,9,0,8,0,0,0,142,5,0,37,23,1204070700,3.8,76.0,13.0,07,04
2012-04-07 08:00:00,466,45,0,421,0,7,0,0,40,106,42,15,9,0,7,0,0,0,7,5,0,38,145,1204070800,6.5,69.0,13.0,08,04
2012-04-07 09:00:00,438,43,2,393,0,7,0,0,40,107,1,15,9,0,7,0,0,0,125,5,0,38,39,1204070900,7.9,63.0,13.0,09,04
2012-04-07 10:00:00,2134,43,2,2089,0,7,0,0,41,115,1797,15,9,0,8,0,0,0,0,5,0,38,54,1204071000,9.1,59.0,13.0,10,04
2012-04-07 11:00:00,621,171,0,450,0,7,0,0,41,106,37,18,9,0,7,0,0,0,140,5,0,38,42,1204071100,8.9,67.0,13.0,11,04
2012-04-07 12:00:00,580,173,4,403,0,7,0,0,44,107,1,15,9,0,7,0,0,0,0,5,0,38,170,1204071200,10.1,66.0,13.0,12,04
2012-04-07 13:00:00,2129,43,0,2086,0,7,0,0,40,114,1799,15,9,0,8,0,0,0,0,5,0,38,51,1204071300,10.3,65.0,13.0,13,04
2012-04-07 14:00:00,2124,43,2,2079,0,7,0,0,40,114,1784,18,9,0,7,0,0,0,7,5,0,38,50,1204071400,10.4,65.0,13.0,14,04
2012-04-07 15:00:00,2348,43,0,2305,0,7,0,0,40,113,1757,19,9,0,7,0,0,0,128,28,0,38,159,1204071500,10.9,65.0,13.0,15,04
2012-04-07 16:00:00,502,169,0,333,0,7,0,0,39,106,36,15,9,0,7,0,0,0,0,37,0,38,39,1204071600,10.4,60.0,13.0,16,04
2012-04-07 17:00:00,1087,173,4,910,0,335,0,0,40,106,36,15,9,0,58,0,0,0,0,4,0,267,40,1204071700,10.3,58.0,12.0,17,04
2012-04-07 18:00:00,356,43,0,313,0,7,0,0,41,106,37,19,9,0,8,0,0,0,0,5,0,38,43,1204071800,9.8,61.0,12.0,18,04
2012-04-07 19:00:00,342,43,2,297,0,7,0,0,30,108,37,16,9,0,7,0,0,0,0,5,0,38,40,1204071900,8.8,60.0,13.0,19,04
2012-04-07 20:00:00,356,43,0,313,0,7,0,0,40,106,36,18,9,0,7,0,0,0,0,5,0,38,47,1204072000,8.8,52.0,13.0,20,04
2012-04-07 21:00:00,598,171,2,425,0,7,0,0,40,106,36,19,9,0,8,0,0,0,125,5,0,38,32,1204072100,8.2,48.0,13.0,21,04
2012-04-07 22:00:00,484,45,2,437,0,7,0,0,40,106,37,15,9,0,8,0,0,0,7,5,0,38,165,1204072200,7.3,55.0,13.0,22,04
2012-04-07 23:00:00,589,45,0,544,0,7,0,0,40,106,36,19,9,0,11,0,0,0,122,5,0,38,151,1204072300,6.2,59.0,13.0,23,04
2012-04-08 00:00:00,598,43,2,553,0,7,0,0,40,106,37,19,9,0,9,0,0,0,0,5,0,284,37,1204080000,5.7,60.0,13.0,00,04
2012-04-08 01:00:00,370,43,0,327,0,7,0,0,42,106,36,15,9,0,7,0,0,0,0,5,0,38,62,1204080100,5.9,59.0,11.0,01,04
2012-04-08 02:00:00,498,173,2,323,21,7,0,0,40,107,38,15,9,0,7,0,0,0,0,5,0,38,36,1204080200,4.0,67.0,11.0,02,04
2012-04-08 03:00:00,1147,41,2,1104,0,329,0,0,40,107,36,15,9,0,26,0,37,0,0,42,0,224,239,1204080300,5.0,67.0,12.0,03,04
2012-04-08 04:00:00,1434,43,0,1391,0,324,0,0,39,106,36,18,9,0,60,0,20,0,140,4,0,224,411,1204080400,4.9,73.0,11.0,04,04
2012-04-08 05:00:00,1311,41,2,1268,0,331,0,0,40,107,36,15,9,0,56,0,7,0,0,4,0,338,325,1204080500,4.1,63.0,12.0,05,04
2012-04-08 06:00:00,1197,171,2,1024,0,337,0,0,40,107,38,19,9,0,8,0,7,0,0,4,0,241,214,1204080600,3.8,66.0,11.0,06,04
2012-04-08 07:00:00,356,45,0,311,0,7,0,0,41,107,38,19,9,0,7,0,0,0,0,5,0,38,40,1204080700,7.3,70.0,11.0,07,04
